City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Butaritari,KI,81.88,light rain,3.0707,172.7902,Isles Sunset Lodge
3,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
10,Tagum,PH,82.31,overcast clouds,7.4478,125.8078,Big 8 Corporate Hotel
16,Rikitea,PF,79.18,light rain,-23.1203,-134.9692,People ThankYou
31,Marawi,PH,77.25,few clouds,7.9986,124.2928,Derogongan Residence
32,Buala,SB,77.0,light rain,-8.145,159.5921,Maringe Lagoon Lodge
37,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
39,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
42,Namibe,AO,75.92,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
51,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
57,Itarema,BR,78.24,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
61,Saint-Philippe,RE,76.59,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
72,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
75,Gorontalo,ID,81.45,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
80,Samarai,PG,83.3,broken clouds,-10.6167,150.6667,Nuli Sapi
81,Hithadhoo,MV,81.14,overcast clouds,-0.6,73.0833,Scoop Guest House
86,Geraldton,AU,82.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
87,Alugan,PH,76.96,moderate rain,12.2188,125.4808,JM Lodge
90,Limbang,MY,80.91,overcast clouds,4.75,115.0,Purnama Hotel
91,Vanimo,PG,79.79,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
95,Wewak,PG,79.07,moderate rain,-3.5534,143.6268,In Wewak Boutique Hotel
98,Kimbe,PG,82.56,light rain,-5.5502,150.1429,Kimbe Bay Hotel
102,Kattivakkam,IN,79.07,few clouds,13.2167,80.3167,Euronova Freezer
107,Kapaa,US,81.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
110,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
111,Noumea,NC,89.58,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
114,Fayaoue,NC,82.6,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
118,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
120,Loandjili,CG,78.91,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
122,Namatanai,PG,84.31,light rain,-3.6667,152.4333,Seagulls Inn Namatani
123,Acapulco,MX,80.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
125,Ahipara,NZ,80.69,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
128,Santa Cruz,BO,80.06,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
129,Juba,SS,78.06,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
133,Basco,PH,76.26,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
134,Atuona,PF,77.74,clear sky,-9.8,-139.0333,Villa Enata
135,Iracoubo,GF,75.85,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
139,Fare,PF,82.15,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
143,Bengkulu,ID,76.42,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
144,Saint-Joseph,RE,75.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
145,La Romana,DO,78.53,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
