City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Busselton,-33.65,115.3333,70.09,68,13,8.86,AU,2022-02-12 01:16:52,few clouds
1,Butaritari,3.0707,172.7902,81.88,78,73,15.43,KI,2022-02-12 01:17:38,light rain
2,Cidreira,-30.1811,-50.2056,74.46,83,0,20.31,BR,2022-02-12 01:20:57,clear sky
3,Souillac,-20.5167,57.5167,75.58,94,40,3.44,MU,2022-02-12 01:20:57,scattered clouds
4,Chumikan,54.7183,135.315,8.98,92,100,4.41,RU,2022-02-12 01:20:57,light snow
5,Punta Arenas,-53.15,-70.9167,57.31,72,75,28.77,CL,2022-02-12 01:20:58,broken clouds
6,Eureka,40.8021,-124.1637,65.68,72,100,1.01,US,2022-02-12 01:20:58,overcast clouds
7,Lata,40.1629,-8.3327,49.71,94,100,1.34,PT,2022-02-12 01:20:59,overcast clouds
8,Ushuaia,-54.8,-68.3,49.66,100,100,6.91,AR,2022-02-12 01:20:59,heavy intensity rain
9,San Joaquin,37.9333,-121.3011,73.63,44,0,0.0,US,2022-02-12 01:20:59,clear sky
10,Tagum,7.4478,125.8078,82.31,78,95,4.09,PH,2022-02-12 01:21:00,overcast clouds
11,Ponta Do Sol,32.6667,-17.1,64.71,73,12,6.89,PT,2022-02-12 01:21:00,few clouds
12,Yellowknife,62.456,-114.3525,-12.48,84,100,2.3,CA,2022-02-12 01:21:01,light snow
13,Ribeira Grande,38.5167,-28.7,60.15,75,100,11.81,PT,2022-02-12 01:17:43,overcast clouds
14,Chokurdakh,70.6333,147.9167,-4.09,96,100,13.33,RU,2022-02-12 01:18:09,overcast clouds
15,Albany,42.6001,-73.9662,51.57,54,100,3.0,US,2022-02-12 01:18:26,overcast clouds
16,Rikitea,-23.1203,-134.9692,79.18,74,0,16.87,PF,2022-02-12 01:21:02,light rain
17,New Norfolk,-42.7826,147.0587,68.88,37,9,1.99,AU,2022-02-12 01:21:02,clear sky
18,Puerto Ayora,-0.7393,-90.3518,72.55,100,60,7.49,EC,2022-02-12 01:21:02,broken clouds
19,Sisimiut,66.9395,-53.6735,20.34,95,100,5.48,GL,2022-02-12 01:21:03,snow
20,College,64.8569,-147.8028,9.81,74,75,3.44,US,2022-02-12 01:21:03,broken clouds
21,Torbay,47.6666,-52.7314,35.58,86,0,11.5,CA,2022-02-12 01:21:04,clear sky
22,Moche,-8.1711,-79.0092,69.98,83,100,8.05,PE,2022-02-12 01:21:04,mist
23,Antigonish,45.6169,-61.9986,36.82,83,98,6.17,CA,2022-02-12 01:18:11,overcast clouds
24,Hermanus,-34.4187,19.2345,64.9,90,0,8.19,ZA,2022-02-12 01:21:05,clear sky
25,Duverge,18.3784,-71.5247,72.64,69,0,1.52,DO,2022-02-12 01:21:05,clear sky
26,Sitka,57.0531,-135.33,44.49,81,100,8.05,US,2022-02-12 01:21:05,moderate rain
27,Bredasdorp,-34.5322,20.0403,63.72,82,8,3.44,ZA,2022-02-12 01:21:06,clear sky
28,Bereznik,62.8551,42.7072,22.03,94,100,6.46,RU,2022-02-12 01:21:06,overcast clouds
29,Mataura,-46.1927,168.8643,59.49,50,99,9.28,NZ,2022-02-12 01:21:07,overcast clouds
30,Lavrentiya,65.5833,-171.0,-21.39,91,11,7.78,RU,2022-02-12 01:21:07,few clouds
31,Marawi,7.9986,124.2928,77.25,72,16,1.77,PH,2022-02-12 01:21:08,few clouds
32,Buala,-8.145,159.5921,77.0,90,100,4.25,SB,2022-02-12 01:21:08,light rain
33,Luderitz,-26.6481,15.1594,75.49,65,86,9.78,NA,2022-02-12 01:18:37,overcast clouds
34,Port Alfred,-33.5906,26.891,70.93,88,0,5.91,ZA,2022-02-12 01:21:08,clear sky
35,Coihaique,-45.5752,-72.0662,57.15,58,0,8.05,CL,2022-02-12 01:21:09,clear sky
36,Jamestown,42.097,-79.2353,44.1,63,100,13.0,US,2022-02-12 01:18:52,light rain
37,Georgetown,5.4112,100.3354,78.89,87,20,3.44,MY,2022-02-12 01:17:54,few clouds
38,Kabare,-2.4683,28.8242,60.75,92,100,1.21,CD,2022-02-12 01:21:10,overcast clouds
39,Mahebourg,-20.4081,57.7,75.49,94,40,3.44,MU,2022-02-12 01:16:43,scattered clouds
40,Bluff,-46.6,168.3333,59.81,63,42,18.86,NZ,2022-02-12 01:21:10,scattered clouds
41,Castro,-24.7911,-50.0119,62.13,90,19,7.07,BR,2022-02-12 01:17:56,few clouds
42,Namibe,-15.1961,12.1522,75.92,82,100,4.45,AO,2022-02-12 01:21:11,overcast clouds
43,Hasaki,35.7333,140.8333,45.28,51,99,12.8,JP,2022-02-12 01:21:11,overcast clouds
44,Arman,59.7,150.1667,3.18,74,92,5.14,RU,2022-02-12 01:19:30,overcast clouds
45,Thompson,55.7435,-97.8558,-20.04,69,20,5.75,CA,2022-02-12 01:22:12,few clouds
46,Severo-Kurilsk,50.6789,156.125,27.27,78,95,9.57,RU,2022-02-12 01:19:16,light snow
47,Salalah,17.0151,54.0924,71.69,68,20,3.44,OM,2022-02-12 01:22:12,few clouds
48,Saint-Ambroise,48.5501,-71.3324,28.94,93,100,7.74,CA,2022-02-12 01:22:13,light snow
49,Gabriel Leyva Solano,25.6667,-108.6417,69.62,41,0,9.13,MX,2022-02-12 01:22:13,clear sky
50,Hobart,-42.8794,147.3294,68.22,48,20,10.36,AU,2022-02-12 01:17:51,few clouds
51,Bathsheba,13.2167,-59.5167,77.61,57,20,20.71,BB,2022-02-12 01:22:14,few clouds
52,Mitu,1.1983,-70.1733,73.71,94,97,2.89,CO,2022-02-12 01:20:01,overcast clouds
53,Crixas,-14.5489,-49.9692,70.18,93,68,2.48,BR,2022-02-12 01:22:14,broken clouds
54,Akyab,20.15,92.9,65.01,67,5,10.47,MM,2022-02-12 01:22:15,clear sky
55,Nouadhibou,20.931,-17.0347,69.78,56,68,9.22,MR,2022-02-12 01:19:55,broken clouds
56,Mount Gambier,-37.8333,140.7667,73.8,38,2,6.22,AU,2022-02-12 01:21:44,clear sky
57,Itarema,-2.9248,-39.9167,78.24,80,43,9.93,BR,2022-02-12 01:17:24,scattered clouds
58,Hongjiang,27.11,109.9956,40.93,96,100,2.48,CN,2022-02-12 01:22:16,overcast clouds
59,Kodiak,57.79,-152.4072,38.71,93,100,0.0,US,2022-02-12 01:22:16,mist
60,Lensk,60.7253,114.9278,-12.69,99,88,3.56,RU,2022-02-12 01:22:16,overcast clouds
61,Saint-Philippe,-21.3585,55.7679,76.59,71,22,5.59,RE,2022-02-12 01:22:17,few clouds
62,Kanungu,-0.9575,29.7897,62.74,66,100,2.8,UG,2022-02-12 01:22:17,overcast clouds
63,Tuktoyaktuk,69.4541,-133.0374,-22.0,69,75,8.05,CA,2022-02-12 01:22:18,broken clouds
64,Fortuna,40.5982,-124.1573,65.43,73,0,1.99,US,2022-02-12 01:22:18,clear sky
